RK,Name,Team,P,G
1,Kylian Mbappé,Paris Saint-Germain,12,8
2,Harry Kane,Bayern Munich,12,8
3,Vinícius Júnior,Real Madrid,10,6
4,Antoine Griezmann,Atlético Madrid,10,6
5,Erling Haaland,Manchester City,9,6
6,Rodrygo,Real Madrid,13,5
7,Joselu,Real Madrid,11,5
8,Álvaro Morata,Atlético Madrid,10,5
9,Phil Foden,Manchester City,8,5
10,Galeno,FC Porto,7,5
11,Julián Álvarez,Manchester City,7,5
12,Rasmus Højlund,Manchester United,6,5
13,Jude Bellingham,Real Madrid,11,4
14,Bukayo Saka,Arsenal,9,4
15,Leandro Trossard,Arsenal,9,4
16,Loïs Openda,RB Leipzig,8,4
17,Ciro Immobile,Lazio,8,4
18,Gabriel Jesus,Arsenal,8,4
19,Evanilson,FC Porto,7,4
20,Danylo Sikan,Shakhtar Donetsk,6,4
