RK,Name,Team,P,G,Season,GoalsPerGame
1,Robert Lewandowski,Bayern Munich,10,15,2019,1.5
2,Erling Haaland,Borussia Dortmund,8,10,2019,1.25
3,Serge Gnabry,Bayern Munich,10,9,2019,0.9
4,Raheem Sterling,Manchester City,9,6,2019,0.6666666666666666
5,Memphis Depay,Lyon,8,6,2019,0.75
6,Gabriel Jesus,Manchester City,8,6,2019,0.75
7,Dries Mertens,Napoli,8,6,2019,0.75
8,Harry Kane,Tottenham Hotspur,5,6,2019,1.2
9,Kylian Mbappé,Paris Saint-Germain,10,5,2019,0.5
10,Karim Benzema,Real Madrid,8,5,2019,0.625
11,Luis Suárez,Barcelona,7,5,2019,0.7142857142857143
12,Josip Ilicic,Atalanta,7,5,2019,0.7142857142857143
13,Mauro Icardi,Paris Saint-Germain,7,5,2019,0.7142857142857143
14,Lautaro Martínez,Internazionale,6,5,2019,0.8333333333333334
15,Son Heung-Min,Tottenham Hotspur,6,5,2019,0.8333333333333334
16,Thomas Müller,Bayern Munich,10,4,2019,0.4
17,Marcel Sabitzer,RB Leipzig,9,4,2019,0.4444444444444444
18,Emil Forsberg,RB Leipzig,9,4,2019,0.4444444444444444
19,Mohamed Salah,Liverpool,8,4,2019,0.5
20,Cristiano Ronaldo,Juventus,8,4,2019,0.5
1,Erling Haaland,Borussia Dortmund,8,10,2020,1.25
2,Kylian Mbappé,Paris Saint-Germain,10,8,2020,0.8
3,Karim Benzema,Real Madrid,10,6,2020,0.6
4,Mohamed Salah,Liverpool,10,6,2020,0.6
5,Neymar,Paris Saint-Germain,9,6,2020,0.6666666666666666
6,Álvaro Morata,Juventus,8,6,2020,0.75
7,Youssef En-Nesyri,Sevilla,8,6,2020,0.75
8,Olivier Giroud,Chelsea,8,6,2020,0.75
9,Marcus Rashford,Manchester United,6,6,2020,1.0
10,Sérgio Oliveira,FC Porto,8,5,2020,0.625
11,Alassane Pléa,Borussia Monchengladbach,8,5,2020,0.625
12,Lionel Messi,Barcelona,6,5,2020,0.8333333333333334
13,Robert Lewandowski,Bayern Munich,6,5,2020,0.8333333333333334
